x,y,u,v,p,k,epsilon
77.5,12.9,1.71,0.69,101325,0.5,0.08
77.55,12.9,1.82,0.82,101322,0.65,0.11
77.6,12.9,2.21,1.22,101318,1.0,0.18
77.65,12.9,2.09,0.94,101320,0.85,0.13
77.7,12.9,1.96,0.86,101323,0.76,0.12
77.5,12.925,1.71,1.39,101324,1.05,0.21
77.55,12.925,2.03,0.95,101321,0.92,0.15
77.6,12.925,1.84,0.89,101319,0.82,0.14
77.65,12.925,2.29,0.78,101316,0.92,0.16
77.7,12.925,2.32,0.88,101315,0.98,0.17
77.5,12.95,2.3,1.23,101314,1.15,0.24
77.55,12.95,2.12,1.32,101316,1.22,0.26
77.6,12.95,2.21,0.96,101318,0.95,0.19
77.65,12.95,1.76,0.99,101322,0.82,0.13
77.7,12.95,1.91,0.82,101324,0.74,0.11
77.5,12.975,2.0,1.01,101323,0.91,0.16
77.55,12.975,2.07,1.19,101320,1.09,0.20
77.6,12.975,1.88,1.09,101319,0.95,0.17
77.65,12.975,1.89,0.83,101321,0.76,0.12
77.7,12.975,1.62,1.29,101325,1.10,0.22
77.5,13.0,1.92,1.28,101325,1.18,0.25
77.55,13.0,2.1,1.1,101322,1.09,0.21
77.6,13.0,1.74,1.08,101320,0.96,0.18
77.65,13.0,2.22,0.99,101318,1.02,0.19
77.7,13.0,2.06,1.19,101317,1.14,0.23
